city,longitude,latitude,zoom
臺北市,121.55,25.07,10.5
新北市,121.67,24.915,9
高雄市,120.666,23.01087,8.5
臺中市,120.9417,24.2332,8.5
桃園市,121.2168,24.93759,9
臺南市,120.2513,23.1417,9
彰化縣,120.4818,23.99297,9
屏東縣,120.62,22.54951,9
雲林縣,120.3897,23.75585,9
苗栗縣,120.9417,24.48927,9
嘉義縣,120.574,23.45889,9
嘉義市,120.48,23.45889,11
新竹縣,121.1252,24.70328,9
南投縣,120.9876,23.83876,9
宜蘭縣,121.7195,24.69295,9
新竹市,120.9647,24.80395,10
基隆市,121.7081,25.10898,10
花蓮縣,121.3542,23.7569,8
嘉義市,120.4473,23.47545,9
臺東縣,120.9876,22.98461,8
金門縣,118.3186,24.43679,10
澎湖縣,119.6151,23.56548,10
連江縣,120,26.19737,8