,place,Place_id,COUNTYNAME
0,臺東縣成功鎮,961,臺東縣
1,屏東縣佳冬鄉,931,屏東縣
2,雲林縣麥寮鄉,638,雲林縣
3,臺東縣綠島鄉,951,臺東縣
4,臺東縣蘭嶼鄉,952,臺東縣
5,彰化縣田中鎮,520,彰化縣
6,彰化縣社頭鄉,511,彰化縣
7,屏東縣竹田鄉,911,屏東縣
8,屏東縣萬丹鄉,913,屏東縣
9,苗栗縣三灣鄉,352,苗栗縣
10,新竹縣峨眉鄉,315,新竹縣
11,苗栗縣南庄鄉,353,苗栗縣
12,嘉義縣太保市,612,嘉義縣
13,嘉義縣中埔鄉,606,嘉義縣
14,嘉義縣番路鄉,602,嘉義縣
15,嘉義縣水上鄉,608,嘉義縣
16,彰化縣員林市,510,彰化縣
17,高雄市小港區,812,高雄市
18,宜蘭縣蘇澳鎮,270,宜蘭縣
19,宜蘭縣五結鄉,268,宜蘭縣
20,宜蘭縣宜蘭市,260,宜蘭縣
21,宜蘭縣壯圍鄉,263,宜蘭縣
22,連江縣南竿鄉,209,連江縣
23,連江縣莒光鄉,211,連江縣
24,金門縣金寧鄉,892,金門縣
25,金門縣烏坵鄉,896,金門縣
26,宜蘭縣羅東鎮,265,宜蘭縣
27,宜蘭縣員山鄉,264,宜蘭縣
28,宜蘭縣冬山鄉,269,宜蘭縣
29,宜蘭縣三星鄉,266,宜蘭縣
30,宜蘭縣大同鄉,267,宜蘭縣
31,新竹縣竹東鎮,310,新竹縣
32,新竹縣新埔鎮,305,新竹縣
33,新竹縣關西鎮,306,新竹縣
34,新竹縣湖口鄉,303,新竹縣
35,新竹縣芎林鄉,307,新竹縣
36,新竹縣橫山鄉,312,新竹縣
37,新竹縣北埔鄉,314,新竹縣
38,新竹縣尖石鄉,313,新竹縣
39,新竹縣五峰鄉,311,新竹縣
40,臺中市龍井區,434,臺中市
41,臺中市大雅區,428,臺中市
42,臺中市沙鹿區,433,臺中市
43,臺中市梧棲區,435,臺中市
44,澎湖縣湖西鄉,885,澎湖縣
45,苗栗縣苗栗市,360,苗栗縣
46,苗栗縣卓蘭鎮,369,苗栗縣
47,苗栗縣大湖鄉,364,苗栗縣
48,苗栗縣公館鄉,363,苗栗縣
49,苗栗縣銅鑼鄉,366,苗栗縣
50,苗栗縣頭屋鄉,362,苗栗縣
51,苗栗縣三義鄉,367,苗栗縣
52,苗栗縣西湖鄉,368,苗栗縣
53,苗栗縣造橋鄉,361,苗栗縣
54,苗栗縣獅潭鄉,354,苗栗縣
55,苗栗縣泰安鄉,365,苗栗縣
56,彰化縣彰化市,500,彰化縣
57,彰化縣和美鎮,508,彰化縣
58,彰化縣線西鄉,507,彰化縣
59,彰化縣伸港鄉,509,彰化縣
60,彰化縣秀水鄉,504,彰化縣
61,彰化縣花壇鄉,503,彰化縣
62,彰化縣芬園鄉,502,彰化縣
63,彰化縣溪湖鎮,514,彰化縣
64,嘉義縣東石鄉,614,嘉義縣
65,彰化縣大村鄉,515,彰化縣
66,彰化縣埔鹽鄉,516,彰化縣
67,彰化縣埔心鄉,513,彰化縣
68,彰化縣永靖鄉,512,彰化縣
69,彰化縣二水鄉,530,彰化縣
70,彰化縣二林鎮,526,彰化縣
71,彰化縣埤頭鄉,523,彰化縣
72,彰化縣芳苑鄉,528,彰化縣
73,彰化縣大城鄉,527,彰化縣
74,彰化縣竹塘鄉,525,彰化縣
75,彰化縣溪州鄉,524,彰化縣
76,南投縣南投市,540,南投縣
77,南投縣埔里鎮,545,南投縣
78,南投縣草屯鎮,542,南投縣
79,南投縣竹山鎮,557,南投縣
80,南投縣集集鎮,552,南投縣
81,南投縣名間鄉,551,南投縣
82,南投縣鹿谷鄉,558,南投縣
83,南投縣中寮鄉,541,南投縣
84,南投縣魚池鄉,555,南投縣
85,南投縣國姓鄉,544,南投縣
86,南投縣水里鄉,553,南投縣
87,南投縣信義鄉,556,南投縣
88,南投縣仁愛鄉,546,南投縣
89,雲林縣斗六市,640,雲林縣
90,雲林縣斗南鎮,630,雲林縣
91,雲林縣虎尾鎮,632,雲林縣
92,雲林縣西螺鎮,648,雲林縣
93,雲林縣土庫鎮,633,雲林縣
94,雲林縣北港鎮,651,雲林縣
95,雲林縣古坑鄉,646,雲林縣
96,雲林縣大埤鄉,631,雲林縣
97,雲林縣莿桐鄉,647,雲林縣
98,雲林縣林內鄉,643,雲林縣
99,雲林縣二崙鄉,649,雲林縣
100,雲林縣崙背鄉,637,雲林縣
101,雲林縣東勢鄉,635,雲林縣
102,雲林縣褒忠鄉,634,雲林縣
103,雲林縣元長鄉,655,雲林縣
104,雲林縣水林鄉,652,雲林縣
105,嘉義縣朴子市,613,嘉義縣
106,嘉義縣大林鎮,622,嘉義縣
107,嘉義縣民雄鄉,621,嘉義縣
108,嘉義縣溪口鄉,623,嘉義縣
109,嘉義縣新港鄉,616,嘉義縣
110,嘉義縣六腳鄉,615,嘉義縣
111,嘉義縣義竹鄉,624,嘉義縣
112,嘉義縣鹿草鄉,611,嘉義縣
113,嘉義縣竹崎鄉,604,嘉義縣
114,嘉義縣梅山鄉,603,嘉義縣
115,嘉義縣大埔鄉,607,嘉義縣
116,嘉義縣阿里山鄉,605,嘉義縣
117,屏東縣屏東市,900,屏東縣
118,屏東縣潮州鎮,920,屏東縣
119,屏東縣長治鄉,908,屏東縣
120,屏東縣麟洛鄉,909,屏東縣
121,屏東縣九如鄉,904,屏東縣
122,屏東縣里港鄉,905,屏東縣
123,屏東縣鹽埔鄉,907,屏東縣
124,屏東縣高樹鄉,906,屏東縣
125,屏東縣萬巒鄉,923,屏東縣
126,屏東縣內埔鄉,912,屏東縣
127,屏東縣新埤鄉,925,屏東縣
128,屏東縣崁頂鄉,924,屏東縣
129,屏東縣南州鄉,926,屏東縣
130,屏東縣琉球鄉,929,屏東縣
131,屏東縣三地門鄉,901,屏東縣
132,屏東縣霧臺鄉,902,屏東縣
133,屏東縣瑪家鄉,903,屏東縣
134,屏東縣泰武鄉,921,屏東縣
135,屏東縣來義鄉,922,屏東縣
136,屏東縣春日鄉,942,屏東縣
137,屏東縣獅子鄉,943,屏東縣
138,臺東縣鹿野鄉,955,臺東縣
139,臺東縣池上鄉,958,臺東縣
140,臺東縣延平鄉,953,臺東縣
141,花蓮縣光復鄉,976,花蓮縣
142,花蓮縣瑞穗鄉,978,花蓮縣
143,花蓮縣富里鄉,983,花蓮縣
144,澎湖縣馬公市,880,澎湖縣
145,澎湖縣白沙鄉,884,澎湖縣
146,澎湖縣西嶼鄉,881,澎湖縣
147,澎湖縣望安鄉,882,澎湖縣
148,澎湖縣七美鄉,883,澎湖縣
149,基隆市暖暖區,205,基隆市
150,臺北市大安區,106,臺北市
151,臺北市文山區,116,臺北市
152,高雄市鹽埕區,803,高雄市
153,高雄市新興區,800,高雄市
154,高雄市前金區,801,高雄市
155,高雄市前鎮區,806,高雄市
156,宜蘭縣頭城鎮,261,宜蘭縣
157,宜蘭縣南澳鄉,272,宜蘭縣
158,新竹縣竹北市,302,新竹縣
159,新竹縣新豐鄉,304,新竹縣
160,苗栗縣苑裡鎮,358,苗栗縣
161,苗栗縣通霄鎮,357,苗栗縣
162,苗栗縣竹南鎮,350,苗栗縣
163,苗栗縣後龍鎮,356,苗栗縣
164,彰化縣鹿港鎮,505,彰化縣
165,彰化縣福興鄉,506,彰化縣
166,雲林縣臺西鄉,636,雲林縣
167,雲林縣四湖鄉,654,雲林縣
168,雲林縣口湖鄉,653,雲林縣
169,嘉義縣布袋鎮,625,嘉義縣
170,屏東縣東港鎮,928,屏東縣
171,屏東縣枋寮鄉,940,屏東縣
172,屏東縣新園鄉,932,屏東縣
173,屏東縣林邊鄉,927,屏東縣
174,屏東縣車城鄉,944,屏東縣
175,屏東縣滿州鄉,947,屏東縣
176,屏東縣枋山鄉,941,屏東縣
177,屏東縣牡丹鄉,945,屏東縣
178,臺東縣臺東市,950,臺東縣
179,臺東縣卑南鄉,954,臺東縣
180,臺東縣東河鄉,959,臺東縣
181,花蓮縣吉安鄉,973,花蓮縣
182,花蓮縣壽豐鄉,974,花蓮縣
183,花蓮縣秀林鄉,972,花蓮縣
184,高雄市楠梓區,811,高雄市
185,高雄市鳳山區,830,高雄市
186,高雄市大寮區,831,高雄市
187,高雄市大樹區,840,高雄市
188,高雄市大社區,815,高雄市
189,高雄市仁武區,814,高雄市
190,高雄市鳥松區,833,高雄市
191,高雄市岡山區,820,高雄市
192,高雄市橋頭區,825,高雄市
193,高雄市燕巢區,824,高雄市
194,高雄市田寮區,823,高雄市
195,高雄市阿蓮區,822,高雄市
196,高雄市路竹區,821,高雄市
197,高雄市湖內區,829,高雄市
198,高雄市旗山區,842,高雄市
199,高雄市美濃區,843,高雄市
200,高雄市六龜區,844,高雄市
201,高雄市甲仙區,847,高雄市
202,高雄市杉林區,846,高雄市
203,高雄市內門區,845,高雄市
204,高雄市茂林區,851,高雄市
205,高雄市桃源區,848,高雄市
206,高雄市那瑪夏區,849,高雄市
207,新北市永和區,234,新北市
208,新北市新店區,231,新北市
209,新北市土城區,236,新北市
210,新北市蘆洲區,247,新北市
211,新北市五股區,248,新北市
212,新北市坪林區,232,新北市
213,新北市平溪區,226,新北市
214,新北市烏來區,233,新北市
215,臺中市豐原區,420,臺中市
216,臺中市東勢區,423,臺中市
217,臺中市后里區,421,臺中市
218,臺中市神岡區,429,臺中市
219,臺中市新社區,426,臺中市
220,臺中市石岡區,422,臺中市
221,臺中市外埔區,438,臺中市
222,臺中市大肚區,432,臺中市
223,臺中市和平區,424,臺中市
224,臺南市新營區,730,臺南市
225,臺南市鹽水區,737,臺南市
226,臺南市白河區,732,臺南市
227,臺南市後壁區,731,臺南市
228,臺南市麻豆區,721,臺南市
229,臺南市下營區,735,臺南市
230,臺南市六甲區,734,臺南市
231,臺南市官田區,720,臺南市
232,臺南市大內區,742,臺南市
233,臺南市佳里區,722,臺南市
234,臺南市學甲區,726,臺南市
235,臺南市西港區,723,臺南市
236,臺南市新化區,712,臺南市
237,臺南市新市區,744,臺南市
238,臺南市安定區,745,臺南市
239,臺南市玉井區,714,臺南市
240,臺南市楠西區,715,臺南市
241,臺南市南化區,716,臺南市
242,臺南市左鎮區,713,臺南市
243,臺南市仁德區,717,臺南市
244,臺南市歸仁區,711,臺南市
245,臺南市關廟區,718,臺南市
246,臺南市龍崎區,719,臺南市
247,臺南市永康區,710,臺南市
248,臺南市北區,704,臺南市
249,高雄市林園區,832,高雄市
250,高雄市茄萣區,852,高雄市
251,高雄市永安區,828,高雄市
252,高雄市彌陀區,827,高雄市
253,高雄市梓官區,826,高雄市
254,新北市淡水區,251,新北市
255,新北市瑞芳區,224,新北市
256,新北市林口區,244,新北市
257,新北市三芝區,252,新北市
258,新北市八里區,249,新北市
259,臺中市大甲區,437,臺中市
260,臺中市大安區,439,臺中市
261,臺南市北門區,727,臺南市
262,臺南市安南區,709,臺南市
263,桃園市蘆竹區,338,桃園市
264,桃園市龜山區,333,桃園市
265,桃園市復興區,336,桃園市
266,臺東縣達仁鄉,966,臺東縣
267,臺東縣大武鄉,965,臺東縣
268,臺東縣關山鎮,956,臺東縣
269,臺東縣海端鄉,957,臺東縣
270,宜蘭縣礁溪鄉,262,宜蘭縣
271,花蓮縣玉里鎮,981,花蓮縣
272,花蓮縣卓溪鄉,982,花蓮縣
273,苗栗縣頭份市,351,苗栗縣
274,臺中市清水區,436,臺中市
275,臺南市南區,702,臺南市
276,臺南市東區,701,臺南市
277,臺南市安平區,708,臺南市
278,臺南市中西區,700,臺南市
279,桃園市大溪區,335,桃園市
280,桃園市八德區,334,桃園市
281,桃園市桃園區,330,桃園市
282,桃園市大園區,337,桃園市
283,桃園市楊梅區,326,桃園市
284,基隆市七堵區,206,基隆市
285,基隆市仁愛區,200,基隆市
286,基隆市信義區,201,基隆市
287,基隆市中正區,202,基隆市
288,基隆市中山區,203,基隆市
289,基隆市安樂區,204,基隆市
290,新北市三峽區,237,新北市
291,新北市鶯歌區,239,新北市
292,新北市中和區,235,新北市
293,新北市樹林區,238,新北市
294,新北市深坑區,222,新北市
295,新北市板橋區,220,新北市
296,新北市石碇區,223,新北市
297,新北市新莊區,242,新北市
298,新北市泰山區,243,新北市
299,新北市三重區,241,新北市
300,新北市雙溪區,227,新北市
301,新北市貢寮區,228,新北市
302,新北市汐止區,221,新北市
303,新北市萬里區,207,新北市
304,新北市金山區,208,新北市
305,新北市石門區,253,新北市
306,高雄市苓雅區,802,高雄市
307,高雄市三民區,807,高雄市
308,桃園市新屋區,327,桃園市
309,桃園市觀音區,328,桃園市
310,連江縣北竿鄉,210,連江縣
311,連江縣東引鄉,212,連江縣
312,金門縣烈嶼鄉,894,金門縣
313,高雄市旗津區,805,高雄市
314,臺東縣長濱鄉,962,臺東縣
315,花蓮縣豐濱鄉,977,花蓮縣
316,臺中市霧峰區,413,臺中市
317,臺中市大里區,412,臺中市
318,臺中市南區,402,臺中市
319,臺中市烏日區,414,臺中市
320,臺中市中區,400,臺中市
321,臺中市西區,403,臺中市
322,臺中市南屯區,408,臺中市
323,臺中市北區,404,臺中市
324,臺中市西屯區,407,臺中市
325,臺中市北屯區,406,臺中市
326,臺中市潭子區,427,臺中市
327,臺北市信義區,110,臺北市
328,臺北市萬華區,108,臺北市
329,臺北市中正區,100,臺北市
330,臺北市南港區,115,臺北市
331,臺北市松山區,105,臺北市
332,臺北市大同區,103,臺北市
333,臺北市中山區,104,臺北市
334,臺北市內湖區,114,臺北市
335,臺北市士林區,111,臺北市
336,臺北市北投區,112,臺北市
337,花蓮縣花蓮市,970,花蓮縣
338,花蓮縣新城鄉,971,花蓮縣
339,臺南市善化區,741,臺南市
340,臺南市山上區,743,臺南市
341,彰化縣北斗鎮,521,彰化縣
342,彰化縣田尾鄉,522,彰化縣
343,金門縣金城鎮,893,金門縣
344,金門縣金沙鎮,890,金門縣
345,金門縣金湖鎮,891,金門縣
346,臺南市柳營區,736,臺南市
347,臺南市東山區,733,臺南市
348,臺南市七股區,724,臺南市
349,臺南市將軍區,725,臺南市
350,高雄市鼓山區,804,高雄市
351,高雄市左營區,813,高雄市
352,臺東縣金峰鄉,964,臺東縣
353,臺東縣太麻里鄉,963,臺東縣
354,桃園市中壢區,320,桃園市
355,新竹縣寶山鄉,308,新竹縣
356,屏東縣恆春鎮,946,屏東縣
357,臺中市東區,401,臺中市
358,臺中市太平區,411,臺中市
359,花蓮縣萬榮鄉,979,花蓮縣
360,花蓮縣鳳林鎮,975,花蓮縣
361,桃園市平鎮區,324,桃園市
362,桃園市龍潭區,325,桃園市
